0,0,0,0,70.5,247.5,-226.5,15.7379999160767,-6.3439998626709,1024.49499511719,-630,840,140,0,0,0,0
0,0,0,0,60,229.5,-229.5,14.5790004730225,-11.1020002365112,1022.90899658203,-630,910,140,0,0,0,0
0,0,0,0,51,225,-237,15.0060005187988,-6.77099990844727,1023.94598388672,-700,840,140,0,0,0,0
0,0,0,0,58.5,240,-229.5,14.4569997787476,-6.83200025558472,1023.21398925781,-630,840,140,0,0,0,0
0,0,0,0,67.5,253.5,-222,15.9210004806519,-10.7969999313354,1023.27502441406,-700,840,140,0,0,0,0
0,0,0,0,75,268.5,-223.5,14.6400003433228,-6.22200012207031,1023.70202636719,-630,840,70,0,0,0,0
25.515625,25.5634307861328,36.9552612304688,101616.5859375,75,262.5,-222,15.3719997406006,-10.7360000610352,1023.15301513672,-630,840,70,0,0,0,0
0,0,0,0,63,247.5,-226.5,15.4940004348755,-10.5530004501343,1022.97003173828,-700,910,140,0,0,0,0
0,0,0,0,57,226.5,-229.5,14.701000213623,-6.77099990844727,1023.51898193359,-700,840,70,0,0,0,0
0,0,0,0,58.5,228,-231,15.798999786377,-10.918999671936,1023.27502441406,-700,840,70,0,0,0,0
0,0,0,0,67.5,246,-237,14.4569997787476,-6.9539999961853,1023.09204101563,-700,840,140,0,0,0,0
0,0,0,0,75,265.5,-234,14.7620000839233,-7.07600021362305,1023.58001708984,-630,840,140,0,0,0,0
0,0,0,0,75,271.5,-228,14.8229999542236,-10.7360000610352,1022.78698730469,-700,910,70,0,0,0,0
0,0,0,0,70.5,255,-226.5,14.9449996948242,-7.25900030136108,1023.15301513672,-700,840,70,0,0,0,0
0,0,0,0,60,235.5,-226.5,15.6770000457764,-10.3090000152588,1023.21398925781,-700,840,140,0,0,0,0
0,0,0,0,45,232.5,-234,15.5550003051758,-10.1870002746582,1023.39703369141,-700,910,140,0,0,0,0
0,0,0,0,52.5,244.5,-240,15.3109998703003,-7.86899995803833,1023.51898193359,-700,840,70,0,0,0,0
25.5234375,25.5709838867188,36.92626953125,101616.5859375,66,261,-237,15.6160001754761,-9.69900035858154,1022.90899658203,-700,910,140,0,0,0,0
0,0,0,0,73.5,268.5,-228,15.0670003890991,-7.74700021743774,1023.51898193359,-630,840,140,0,0,0,0
0,0,0,0,72,256.5,-225,14.7620000839233,-8.35700035095215,1023.39703369141,-630,840,140,0,0,0,0
0,0,0,0,63,246,-231,15.6160001754761,-9.69900035858154,1023.33599853516,-700,840,140,0,0,0,0
